Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2024-12-04,51520.19921875,51811.273790607345,50452.9257886064,50452.9257886064,29004766
2024-12-05,52102.35546875,52781.529562383614,51617.231116154566,51617.231116154566,23588277
2024-12-06,52490.45703125,52781.53165434381,51132.10879014556,52296.40728252079,22861874
2024-12-09,51811.28125,52975.579705056174,51617.23150749064,51908.30612125468,26227680
2024-12-10,52393.43359375,52878.55797887732,52102.358962673614,52878.55797887732,20783970
2024-12-11,52393.43359375,52587.483347800924,51811.28433159722,52005.33408564815,14565947
2024-12-12,54236.90625,54819.05551207513,52296.40870974955,52393.433586762076,33476698
2024-12-13,54430.94921875,54624.99894858511,53848.80002924465,54139.874623997326,15908823
2024-12-16,53945.83203125,54916.08080879047,53557.73252023382,54625.00617552833,15277277
2024-12-17,52587.4765625,53557.725207564574,52393.42683348709,53072.60088503229,20215230
2024-12-18,53266.64453125,53751.76879838342,52393.420850409835,52490.445703836514,13698937
2024-12-19,51520.19921875,52199.37321975047,51520.19921875,51908.29864789313,22481925
2024-12-20,51423.18359375,51520.20846845519,50355.90997199292,51132.108969634435,24674774
2024-12-23,51908.30078125,52393.42508761682,51714.25105870327,51811.27591997664,13672650
2024-12-24,52781.53125,52878.556123621325,52005.33226102941,52102.35713465073,11634677
2024-12-26,52005.33203125,52975.58076317631,51908.307158057374,52878.555889983676,10517075
2024-12-27,52457.6171875,52848.362939362196,51969.18499767225,52262.2443115689,10747196
2024-12-30,51969.18359375,52750.67507636278,51871.4971584234,52066.8700290766,12624702
2025-01-02,52164.55859375,52359.93147237827,51090.00776129447,51480.75351855103,16630538
2025-01-03,53141.42578125,53825.23089240579,51578.44267003676,51578.44267003676,19318046
2025-01-06,54606.72265625,54899.78199072004,53043.73953907648,53141.425983899826,19034284
2025-01-07,54118.2890625,55974.33146717058,54118.2890625,55485.89925541516,17030235
2025-01-08,55974.3359375,56169.70883780541,53434.48823352967,53532.17468368237,26593553
2025-01-09,54802.09375,56365.07681595365,54802.09375,56267.390374331546,24490592
2025-01-10,54020.59765625,55192.834856747286,53922.91122287523,54802.089123248195,16059223
2025-01-13,52848.36328125,53727.54122862754,52848.36328125,53336.79547423752,16868600
2025-01-14,52652.98828125,53336.79332386363,52457.615411931816,52946.04758522727,17465926
2025-01-15,52457.6171875,53434.48156715549,52262.2443115689,52848.362939362196,18625025
2025-01-16,53043.73828125,53727.54337879834,52848.365396236186,52946.05183874309,18627298
2025-01-17,52457.6171875,52848.362939362196,51969.18499767225,52555.303625465545,18805344
2025-01-20,52164.55859375,52652.99079032069,52066.87215443586,52359.93147237827,11822531
2025-01-21,52262.2421875,53043.73365946262,52066.869319509344,52457.615055490656,13535702
2025-01-22,53043.73828125,53141.42472375691,51871.50097116713,52164.560298687844,18341991
2025-01-23,52457.6171875,52848.362939362196,52262.2443115689,52457.6171875,15588067
2025-01-24,52457.6171875,52555.303625465545,51969.18499767225,52359.93074953445,11867631
2025-01-31,51187.6953125,51773.813961116415,50503.89022244752,50992.322429627864,42186279
2025-02-03,49820.0859375,50210.83170955882,49624.713051470586,49917.7723805147,32344897
2025-02-04,51480.7578125,52359.93583965844,50308.52044295541,50406.20689041745,27214851
2025-02-05,51676.12890625,52555.30690276465,51578.44246219282,52359.93401465028,15974885
2025-02-06,52750.6796875,52750.6796875,51969.18813657407,52164.561024305556,16466025
2025-02-07,52457.6171875,52946.04937732774,52359.93074953445,52652.9900634311,14476866
2025-02-10,54313.6640625,54606.72340096672,51676.13001629946,51773.81646245503,27577591
2025-02-11,54411.34765625,54997.46630245736,53727.54256900808,54215.97477418088,24596196
2025-02-12,54509.03125,54606.7176859319,53239.107582885306,53825.2261984767,26428596
2025-02-13,54509.03125,55095.1498655914,54313.6583781362,54802.090557795695,22448377
2025-02-14,54704.40625,55974.32996651786,54704.40625,54704.40625,23979779
2025-02-17,54704.40625,55192.83844866072,54411.34693080357,54802.09268973215,11916027
2025-02-18,55583.5859375,55876.64526581722,54606.721509775925,54899.780838093146,22131007
2025-02-19,57341.94140625,57537.31429008731,55974.33121938884,56072.017661307495,25395151
2025-02-20,57048.8828125,57732.68791470463,56755.82348298373,57732.68791470463,21589059
2025-02-21,56853.50390625,57146.56320473582,55778.95314513531,57048.87677190722,22198428
2025-02-24,55974.3359375,56365.08173811082,55876.6494873473,55974.3359375,14138471
2025-02-25,55876.64453125,56462.7631801792,55192.839440832606,55290.525882320806,14625181
2025-02-26,55290.5234375,55778.95562334364,54802.09125165636,55681.26918617491,18117091
2025-02-27,54997.46484375,55778.956351298846,54899.778405306395,55192.83772063721,14975356
2025-02-28,53239.11328125,54411.35063790138,53239.11328125,54118.291298738535,28036698
2025-03-04,53239.11328125,53727.54551318807,52555.308156536696,52652.994602924315,18553933
2025-03-05,52750.6796875,54118.28990162037,52750.6796875,53825.230570023145,16578817
2025-03-06,53043.73828125,53239.111166263814,52750.678953729286,52848.365396236186,12258101
2025-03-07,52457.6171875,52946.04937732774,52164.55787360335,52262.2443115689,14274992
2025-03-10,52457.6171875,53532.16800512104,52262.2443115689,52262.2443115689,12921670
2025-03-11,52359.93359375,52848.36581010961,51285.38271775886,51285.38271775886,17740891
2025-03-12,53629.84765625,54020.59335866348,52359.92412340619,52555.29697461293,17973221
2025-03-13,53434.484375,54606.72169218464,52946.0521595064,54509.03524908592,24132151
2025-03-14,53434.484375,53825.230147394876,53141.425045703836,53239.111488802555,10845154
2025-03-17,56267.38671875,56462.75958930122,54118.28514268663,54215.97157796224,35559021
2025-03-18,56267.38671875,57634.99681260851,55974.32741292318,57439.6239420573,28138594
2025-03-19,57146.5703125,57830.37542735043,56072.01941773504,56072.01941773504,29421759
2025-03-20,58807.23828125,58904.92472357766,57146.56876167982,57830.37385797342,34989004
2025-03-21,60272.53515625,60272.53515625,59002.61140093193,59491.0436145158,40155612
2025-03-24,59100.296875,60174.84772727273,59100.296875,59784.10196280992,14088094
2025-03-25,58416.48828125,59686.41193953804,58123.42897549122,59491.03906903219,17259455
2025-03-26,59979.47265625,59979.47265625,58318.80321788477,58416.48965543567,16431645
2025-03-27,60370.22265625,60565.59554510518,59393.358211974104,59491.0446564017,20389790
2025-03-28,59156.62890625,60041.03033508098,58960.09525539867,59647.96303337832,16282514
2025-03-31,56798.22265625,58665.29225913711,56798.22265625,58468.758616727944,17633494
2025-04-01,57780.890625,58567.02519132653,56896.48923788265,57682.62380420918,13841706
2025-04-02,57780.890625,58370.4915497449,57289.55652104592,57780.890625,14402297
2025-04-03,56601.6875,56798.22113715278,55913.81976996528,55913.81976996528,19508076
2025-04-04,55127.68359375,57191.286722927805,54734.61633104947,55225.95040942513,23527139
2025-04-07,52277.94921875,53162.3506153078,52179.68239691024,52376.21604058975,31998883
2025-04-08,52572.75,54341.55280373832,52376.21635514019,54046.7523364486,25532845
2025-04-09,52081.41796875,53358.88671137972,51983.151142393865,52376.2184478184,20576960
2025-04-10,55422.48828125,55717.28875083112,54046.752756538124,55619.02192763741,22948172
2025-04-11,54243.28515625,54734.61926092618,53850.217872509056,54636.352439990944,13930480
2025-04-14,55225.94921875,55717.283286532474,54832.88196452402,55324.216032306496,12852613
2025-04-15,55619.01953125,56110.35362604903,55225.95225541078,55324.21907437059,8998640
2025-04-16,53751.94921875,55225.95148251828,53555.41558358089,55029.41784734918,14437025
2025-04-17,54145.015625,54341.54925703267,53555.414728902,53751.948360934664,10867069
2025-04-18,54341.5546875,54636.35516500904,53948.48738415461,54341.5546875,5848342
2025-04-21,54439.81640625,55029.41730595668,54145.01595639666,54243.28277301444,5941847
2025-04-22,54046.75,54538.08409090909,53751.94954545455,53948.483181818185,9532469
2025-04-23,54734.62109375,55127.68839065305,54538.08744529847,55029.42156642729,11148692
2025-04-24,54734.62109375,54832.887917975764,54243.28697262119,54636.354269524236,10580377
2025-04-25,54734.62109375,55422.48886333034,54636.354269524236,55422.48886333034,12183303
2025-04-28,54832.88671875,54931.15354082661,54538.08625252016,54832.88671875,9341518
2025-04-29,54832.88671875,55520.75447328629,54636.35307459677,54734.61989667339,10295518
2025-04-30,54538.0859375,55029.420045045044,54341.55229448198,54931.153223536036,13014189
2025-05-02,53358.8828125,54538.08464261049,53260.61599332412,54046.75054673112,22454204
2025-05-07,53653.68359375,54046.75087282509,53358.883134443684,53555.416773981226,17136991
2025-05-08,53653.68359375,54538.084971668955,53555.416773981226,54145.017692593865,16320532
2025-05-09,53850.21875,54046.75239507299,53457.15145985401,53751.9519274635,7814322
2025-05-12,56601.6875,56601.6875,54046.75021701389,54243.28385416667,15414702
2025-05-13,55913.8203125,57191.288966388405,55815.553492970124,56699.95486873902,16842801
